ds,yhat,yhat_lower,yhat_upper
2015-01-01 19:00:00,26386.715187293838,20901.379110500384,31627.056431980713
2015-01-01 19:10:00,26590.533638185603,21531.019483355394,32334.47512073668
2015-01-01 19:20:00,26794.18606840717,21531.468661616687,31825.82995127091
2015-01-01 19:30:00,26993.490417403875,21508.693737841888,32484.081827092148
2015-01-01 19:40:00,27184.20620647183,21743.44316390912,32317.22492965268
2015-01-01 19:50:00,27362.12257048818,22038.94929115383,32710.615406651275
2015-01-01 20:00:00,27523.14661177363,22132.111358352882,33247.8578926844
2015-01-01 20:10:00,27663.3898290462,22265.96879416228,32928.7442745924
2015-01-01 20:20:00,27779.25041714832,22468.295805123977,32852.47812762066
2015-01-01 20:30:00,27867.48933943775,22686.088020070645,33117.389242547324
2015-01-01 20:40:00,27925.29823665701,22631.53074562234,33096.305509166
2015-01-01 20:50:00,27950.357455785255,23322.264408789775,33327.69696303143
2015-01-01 21:00:00,27940.882748716285,22614.20943359773,33486.53505988026
2015-01-01 21:10:00,27895.659498736924,22505.446855897488,33099.97452422712
2015-01-01 21:20:00,27814.06367107931,22551.75916712192,32968.294610039775
2015-01-01 21:30:00,27696.06904557514,22229.652022040093,33039.9216013867
2015-01-01 21:40:00,27542.2406617983,21967.126046602334,32647.075794672324
2015-01-01 21:50:00,27353.71478142467,21943.96550933621,32439.72211563856
2015-01-01 22:00:00,27132.166033930444,22234.921839440143,32298.339236064807
2015-01-01 22:10:00,26879.762756440083,21818.513759575966,31951.297702120715
2015-01-01 22:20:00,26599.111850022353,21592.740441889488,31692.27414484862
2015-01-01 22:30:00,26293.194749252893,20923.32502530869,31449.23664823155
2015-01-01 22:40:00,25965.29632388675,20714.001258364136,31519.362258699122
2015-01-01 22:50:00,25618.928710647848,20326.685193199773,31224.771330085146
2015-01-01 23:00:00,25257.752180387106,20154.43635709519,30656.630053084788
2015-01-01 23:10:00,24885.49520414471,19529.360391728813,30529.01078284702
2015-01-01 23:20:00,24505.875871692228,19412.48504525079,30204.28792021478
2015-01-01 23:30:00,24122.526740400826,19199.11771389015,29067.777545592853
2015-01-01 23:40:00,23738.925068083907,18748.984072230727,28811.37986469101
2015-01-01 23:50:00,23358.330193221896,17891.64149915338,28568.856466678037
2015-01-02 00:00:00,25241.248300679807,20224.964057090576,30794.387589750797
2015-01-02 00:10:00,24875.313583422958,19397.378041495263,30426.490422414456
2015-01-02 00:20:00,24520.367342032678,19245.66701724957,29745.502261361453
2015-01-02 00:30:00,24178.3614971084,18701.03898062042,29358.410249192013
2015-01-02 00:40:00,23850.867370659274,18303.578501789598,29331.788174844987
2015-01-02 00:50:00,23539.077400942067,18104.012447415564,28825.176533680034
2015-01-02 01:00:00,23243.81805715822,18004.52869899793,28482.935769194602
2015-01-02 01:10:00,22965.573182948094,17703.610890034,28202.10669844268
2015-01-02 01:20:00,22704.516698460495,17588.04503721625,28050.982426828443
2015-01-02 01:30:00,22460.553324280623,17282.39340064056,27900.450213293214
2015-01-02 01:40:00,22233.365764898972,17260.399418855544,27419.352637699958
2015-01-02 01:50:00,22022.46662329597,17207.438473228456,27630.674486669355
2015-01-02 02:00:00,21827.25319420372,16824.763930622707,26913.442015880988
2015-01-02 02:10:00,21647.06322751226,16013.15823909225,26563.78663006401
2015-01-02 02:20:00,21481.22975299242,16059.184727612655,26937.096712150593
2015-01-02 02:30:00,21329.13311321224,16152.97320169624,26596.26979283626
2015-01-02 02:40:00,21190.248469062626,15685.677040318624,26132.508544602944
2015-01-02 02:50:00,21064.18721016384,15811.63842013016,25982.326564670515
2015-01-02 03:00:00,20950.73091706885,15696.884567501203,26452.687357506722
2015-01-02 03:10:00,20849.85677716208,15799.211811956084,25850.671754974977
2015-01-02 03:20:00,20761.753647090787,15396.751202807154,26034.630671104907
2015-01-02 03:30:00,20686.82826222795,15468.351791976644,26108.443682123467
2015-01-02 03:40:00,20625.70142163841,14843.426390014249,25782.534850679986
2015-01-02 03:50:00,20579.194303908054,15425.82974469568,25819.163858913827
2015-01-02 04:00:00,20548.30539112624,15590.847109496268,25532.865233971697
2015-01-02 04:10:00,20534.178783266798,15179.236779422643,25811.899926063576
2015-01-02 04:20:00,20538.064964818746,15251.903181659954,25669.72977153258
2015-01-02 04:30:00,20561.2753296629,15323.540878160984,25740.169953960954
2015-01-02 04:40:00,20605.131972825275,15561.076372581527,25971.39086632474
2015-01-02 04:50:00,20670.914412518676,15066.476713535281,26659.15890356833
2015-01-02 05:00:00,20759.80500775807,15642.116146518812,26004.355809751112
2015-01-02 05:10:00,20872.83488320367,15385.493665965654,26032.783461644336
2015-01-02 05:20:00,21010.83216135832,15890.684380795452,26692.31301039821
2015-01-02 05:30:00,21174.374236235417,15889.157721184589,26711.983053271288
2015-01-02 05:40:00,21363.745700750722,16169.47665172897,26684.856797486857
2015-01-02 05:50:00,21578.90336808745,16377.45774584463,26684.299587344252
2015-01-02 06:00:00,21819.449610173047,16427.131218812166,27426.987142136364
2015-01-02 06:10:00,22084.614984155258,16980.605081347425,27590.663746856095
2015-01-02 06:20:00,22373.25083026407,16774.474687414036,27623.112487235907
2015-01-02 06:30:00,22683.832218529264,17026.175745327568,27977.225178986126
2015-01-02 06:40:00,23014.47130794957,17677.32682327751,28078.750282441964
2015-01-02 06:50:00,23362.9408554932,18437.010978899645,28464.741520987318
2015-01-02 07:00:00,23726.707306974437,18434.744160060218,29028.890558378855
2015-01-02 07:10:00,24102.97260559739,19024.75871613555,29605.519486203048
